# ESLint baseline (codigo producto, vendor excluido)
# Generado: 2026-08-25T11:50:58.205Z

backend/kpi/config                            errors=    2 warnings=  6 files=1
backend/middleware/network-optimizer.js       errors=    2 warnings=  0 files=1
backend/middleware/prometheus-metrics.js      errors=    2 warnings=  0 files=1
backend/repositories/reparto-receipt-db2-repository.js errors=    2 warnings=  0 files=1
backend/routes/auth.js                        errors=    2 warnings=  0 files=1
backend/routes/chatbot.js                     errors=    2 warnings=  0 files=1
backend/routes/user-actions.js                errors=    2 warnings=  0 files=1
backend/scripts/_e2e_align_test_cobros_ledger.js errors=    2 warnings=  0 files=1
backend/scripts/_e2e_diego98_reparto_probe.js errors=    2 warnings=  0 files=1
backend/scripts/_probe_commercial_rutero_live.js errors=    2 warnings=  0 files=1
backend/scripts/check-firmas-columns.js       errors=    2 warnings=  0 files=1
backend/scripts/db2_inventory.js              errors=    2 warnings=  0 files=1
backend/scripts/db2_inventory2.js             errors=    2 warnings=  0 files=1
backend/scripts/db2_inventory3.js             errors=    2 warnings=  0 files=1
backend/scripts/db2_inventory4.js             errors=    2 warnings=  0 files=1
backend/scripts/discover-dsedac-columns.js    errors=    2 warnings=  0 files=1
backend/scripts/discover-vista-unificada.js   errors=    2 warnings=  0 files=1
backend/scripts/generate-vista-unificada-sql.js errors=    2 warnings=  0 files=1
backend/scripts/import-bolsa-pricing-from-erp.js errors=    2 warnings=  0 files=1
backend/scripts/mandato-v5-cpc-probe.js       errors=    2 warnings=  0 files=1
backend/scripts/pilar2-catalog-audit.js       errors=    2 warnings=  0 files=1
backend/scripts/reparto-isolated-ddl-runner.js errors=    2 warnings=  0 files=1
backend/scripts/test-app-view.js              errors=    2 warnings=  0 files=1
backend/scripts/validate_production_config.js errors=    2 warnings=  0 files=1
backend/services/liquidacion-pdf-service.js   errors=    2 warnings=  0 files=1
backend/services/query-optimizer.js           errors=    2 warnings=  0 files=1
backend/services/reparto-confirmation-factory.js errors=    2 warnings=  0 files=1
backend/services/reparto-notification-scheduler.js errors=    2 warnings=  0 files=1
backend/services/reparto-receipt-pdf-service.js errors=    2 warnings=  0 files=1
backend/services/reparto-variance-notification-service.js errors=    2 warnings=  0 files=1
backend/services/request-coalescing.js        errors=    2 warnings=  0 files=1
backend/services/websocket-cache-manager.js   errors=    2 warnings=  0 files=1
backend/services/whatsappCloudService.js      errors=    2 warnings=  0 files=1
backend/tests/setup.js                        errors=    2 warnings=  0 files=1
backend/tests/test_rutero_delivery.js         errors=    2 warnings=  0 files=1
backend/__tests__/commission-snapshot.test.js errors=    1 warnings=  0 files=1
backend/__tests__/ddd-auth-repartidor.test.js errors=    1 warnings=  0 files=1
backend/__tests__/delivery-amount-resolver.test.js errors=    1 warnings=  0 files=1
backend/__tests__/entregas-upload-security.test.js errors=    1 warnings=  0 files=1
backend/__tests__/kpi-dashboard-route.test.js errors=    1 warnings=  0 files=1
backend/__tests__/pedidos-getOrders-bolsa.test.js errors=    1 warnings=  0 files=1
backend/__tests__/pedidos-getorders-bolsa-tariff.test.js errors=    1 warnings=  0 files=1
backend/__tests__/perf-low-risk-contracts.test.js errors=    1 warnings=  0 files=1
backend/__tests__/performance-cache.test.js   errors=    1 warnings=  0 files=1
backend/__tests__/planner-authorization.test.js errors=    1 warnings=  0 files=1
backend/__tests__/planner-rutero-day.test.js  errors=    1 warnings=  0 files=1
backend/__tests__/planner-rutero-gap-coverage.test.js errors=    1 warnings=  0 files=1
backend/__tests__/repartidor-legacy-read-security.test.js errors=    1 warnings=  0 files=1
backend/__tests__/reparto-cobros-db2-port.test.js errors=    1 warnings=  0 files=1
backend/__tests__/reparto-confirmacion-contract.test.js errors=    1 warnings=  0 files=1
backend/__tests__/reparto-evidence-route.test.js errors=    1 warnings=  0 files=1
backend/__tests__/reparto-finance-security-v3.test.js errors=    1 warnings=  0 files=1
backend/__tests__/reparto-planned-delivery-db2-port.test.js errors=    1 warnings=  0 files=1
backend/__tests__/services-unit.test.js       errors=    1 warnings=  0 files=1
backend/create_view.js                        errors=    1 warnings=  0 files=1
backend/create_view_v2.js                     errors=    1 warnings=  0 files=1
backend/instrument.js                         errors=    1 warnings=  0 files=1
backend/kpi/index.js                          errors=    1 warnings=  0 files=1
backend/middleware/audit.js                   errors=    1 warnings=  0 files=1
backend/middleware/logger.js                  errors=    1 warnings=  0 files=1
backend/repositories/reparto-planned-delivery-db2-port.js errors=    1 warnings=  0 files=1
backend/scripts/_e2e_extra_tabs.js            errors=    1 warnings=  0 files=1
backend/scripts/_e2e_hist_retry.js            errors=    1 warnings=  0 files=1
backend/scripts/_e2e_history_signature_probe.js errors=    1 warnings=  0 files=1
backend/scripts/_e2e_inspect_evidencias.js    errors=    1 warnings=  0 files=1
backend/scripts/_e2e_post_confirm_overlay.js  errors=    1 warnings=  0 files=1
backend/scripts/_fix_historico_cycle.js       errors=    1 warnings=  0 files=1
backend/scripts/_fix_outbox_id_route.js       errors=    1 warnings=  0 files=1
backend/scripts/_login_role_probe.js          errors=    1 warnings=  0 files=1
backend/scripts/_probe_albaran_detail.js      errors=    1 warnings=  0 files=1
backend/scripts/_probe_finanzas_tabs.js       errors=    1 warnings=  0 files=1
backend/scripts/_probe_readiness_data.js      errors=    1 warnings=  0 files=1
backend/scripts/_receipt_capability_diag.js   errors=    1 warnings=  0 files=1
backend/scripts/_receipt_retry.js             errors=    1 warnings=  0 files=1
backend/scripts/_reparto_audit_followup.js    errors=    1 warnings=  0 files=1
backend/scripts/_reparto_full_endpoint_audit.js errors=    1 warnings=  0 files=1
backend/scripts/_server-gap-check.js          errors=    1 warnings=  0 files=1
backend/scripts/agent1-dsedac-discovery.js    errors=    1 warnings=  0 files=1
backend/scripts/agent3-column-mapping.js      errors=    1 warnings=  0 files=1
backend/scripts/apply-bolsa-pricing-config.js errors=    1 warnings=  0 files=1
backend/scripts/apply-objetivos-2026-ago-dic.js errors=    1 warnings=  0 files=1
backend/scripts/audit-api-live-readonly.js    errors=    1 warnings=  0 files=1
backend/scripts/audit-commercial-cobros-readonly.js errors=    1 warnings=  0 files=1
backend/scripts/cert-mandate-probe.js         errors=    1 warnings=  0 files=1
backend/scripts/check-vendor-05.js            errors=    1 warnings=  0 files=1
backend/scripts/compare-javier-dsedac-alignment.js errors=    1 warnings=  0 files=1
backend/scripts/db_create_indexes.js          errors=    1 warnings=  0 files=1
backend/scripts/execute-javier-dsedac-alignment.js errors=    1 warnings=  0 files=1
backend/scripts/generate-pedidos-schema-align-sql.js errors=    1 warnings=  0 files=1
backend/scripts/generate-vista-deuda-completa.js errors=    1 warnings=  0 files=1
backend/scripts/javier-pre-ds-functional-verify.js errors=    1 warnings=  0 files=1
backend/scripts/mandato-v5-api-verify.js      errors=    1 warnings=  0 files=1
backend/scripts/mandato-v5-begin-probe.js     errors=    1 warnings=  0 files=1
backend/scripts/mandato-v5-commit-probe.js    errors=    1 warnings=  0 files=1
backend/scripts/mandato-v5-cpc-cols-probe.js  errors=    1 warnings=  0 files=1
backend/scripts/mandato-v5-debug.js           errors=    1 warnings=  0 files=1
backend/scripts/mandato-v5-erp-export.js      errors=    1 warnings=  0 files=1
backend/scripts/mandato-v5-full-audit.js      errors=    1 warnings=  0 files=1
backend/scripts/mandato-v5-pool-tx-probe.js   errors=    1 warnings=  0 files=1
backend/scripts/mandato-v5-stock-race.js      errors=    1 warnings=  0 files=1
backend/scripts/mandato-v5-tx-probe.js        errors=    1 warnings=  0 files=1
backend/scripts/migrate-pin-hashes.js         errors=    1 warnings=  0 files=1
backend/scripts/pedidos_system_inventory.js   errors=    1 warnings=  0 files=1
backend/scripts/pilar2-render-pending-ddl.js  errors=    1 warnings=  0 files=1
backend/scripts/verify-pf-columns.js          errors=    1 warnings=  0 files=1
backend/scripts/verify-team-80.js             errors=    1 warnings=  0 files=1
backend/services/cache-preloader.js           errors=    1 warnings=  0 files=1
