Periodo Hasta AA-Actual;C.Ofi;Oficina Venta;C.Prev;Preventa;Cod.Cliente;Nombre Comercial;Cod.Interno;Cod.Cad;Cadena;Agrupacion;Tipo Establecimiento;Fecha Alta;Ult.Comp.Helados;Cuo.Anual Helados;VtaBru.Cum Actual;VtaBru.Cum Anterior;Desviacion _;Desviacion %;VtaBru.Tot Anterior;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401401059;DONER KEBAD PUENTE ALBERC;9842;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/03/2025;10/09/2025;1770,29;0,00;813,46;-813,46;100,00;1586,63;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401401133;COMERCIO DAMNOUN;32775;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;01/03/2025;14/08/2025;1968,87;0,00;885,66;-885,66;100,00;1830,81;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401401655;RESTAURANTE CARRILLO;7123;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/03/2025;07/05/2026;4388,79;115,46;1874,24;-1758,78;93,84;4063,03;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401401746;HOTEL LA CATEDRAL;32817;000000229;HOTUSA (ASOCIADOS);Hoteles y Hostales;HOTELES Y HOSTALES;01/03/2025;23/04/2026;3446,08;193,92;800,60;-606,68;75,78;3088,21;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401402015;BAR COLON;9649;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/03/2025;03/09/2025;1505,56;0,00;735,25;-735,25;100,00;1348,59;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401402125;KIOSCO CARMEN SEVILLA;32819;;;Impulso Tradicional;KIOSCO FIJO (NO PROPIEDAD NEST;01/03/2025;22/08/2025;4552,93;0,00;1366,04;-1366,04;100,00;4057,72;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401402236;TERRAZA BAR ALSODUX;32823;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/03/2025;05/03/2026;3077,68;203,08;1142,18;-939,10;82,22;2750,91;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401402836;HELADERIA ANYAN;9655;;;Ocio;HELADERIAS/HORCHATERIAS;01/03/2025;08/05/2026;2671,09;688,32;1398,07;-709,75;50,77;2370,69;
05-2025 -> 05-2026;2866;LORCA;05;JOSE SANCHEZ;401403343;SUPERMERCADO CHARTER;8936;;;Hogar;SUPERMERCADOS CON 2 O MAS CAJA;01/04/2025;08/08/2025;1078,32;0,00;328,74;-328,74;100,00;963,84;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401403410;PKO 24 HORAS INFIERNO;32762;000015235;PKO 24 HORAS;Conveniencia;PASTELERIAS/PANADERIAS/FRUTERI;01/04/2025;21/04/2026;2657,13;272,68;814,01;-541,33;66,50;2384,81;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401403956;E.S. SAN ISIDRO 12567;30653;000000282;CAMPSA-REPS-PETRON-ABANDE;Conveniencia;ESTACIONES DE SERVICIO / GASOL;01/04/2025;25/10/2025;2248,15;0,00;840,30;-840,30;100,00;2006,71;
05-2025 -> 05-2026;2866;LORCA;10;EDGAR WIDRIDO GRANDA;401403957;ARTESANOS DE PULPI;6063;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/04/2025;09/04/2025;1501,89;0,00;1345,07;-1345,07;100,00;1345,07;
05-2025 -> 05-2026;2866;LORCA;10;EDGAR WIDRIDO GRANDA;401404223;CARNICERIA FRUTERIA ATLAS;9651;;;Varios;VARIOS/OTROS NO CLASIFICABLES;01/04/2025;10/04/2025;1501,89;0,00;1345,07;-1345,07;100,00;1345,07;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401404662;PRISION VST (IES MARITIMO;30919;B6700;EIS MARITIMO, S.A.;Colectividades;CENTROS PENITENCIARIOS/EDUCATI;01/04/2025;23/09/2025;3437,72;0,00;806,40;-806,40;100,00;3087,36;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401404693;ALIMENTACION LOS HERMANOS;32841;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;01/04/2025;09/08/2025;1325,85;0,00;443,15;-443,15;100,00;1186,63;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401404697;CHIRINGUITO J.EMILIO E HI;32842;;;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;01/04/2025;24/04/2026;6261,46;280,24;1682,70;-1402,46;83,35;5595,44;
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401407792;E.S. SANTO DOMINGO REPSOL;32856;;;Conveniencia;ESTACIONES DE SERVICIO / GASOL;01/05/2025;05/08/2025;2162,32;0,00;322,80;-322,80;100,00;1733,61;
