Periodo Hasta AA-Actual;C.Ofi;Oficina Venta;C.Prev;Preventa;Cod.Cliente;Nombre Comercial;CodigoInterno;Cod.Cad;Cadena;Agrupacion;Tipo Establecimiento;Fecha Alta;Ult.Comp.Helados;Ref.Cum Actual;Ref.Cum Anterior;Desviacion;Ref.Tot Anterior;Ref.SinCompra 1;Ref.SinCompra 2;Ref.SinCompra 3;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401309099;BAZAR DRAGON;32222;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/04/2021;26/03/2026;18;23;-5;23;MDLZ OREO BTOP N1 20x100;MAXIBON CHSCAKE 24X140ML ;PIRULO SANDIA N4 36x73ML;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401299204;SUPERMERCADO BP;8229;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;28/09/2020;30/04/2026;17;19;-2;19;MAXIBON COOKIE N5 24x150;MAXIBON WAFFLE N2 24X140;PIRULO MANGO 36x70ML;
05-2025 -> 05-2026;2866;LORCA;10;EDGAR WIDRIDO GRANDA;401401979;SUPERMERCADO EURO ECUADOR;9614;;;Hogar;SUPERMERCADOS CON 2 O MAS CAJA;01/03/2025;17/02/2026;14;20;-6;20;MAXIBON CHSCAKE 24X140ML ;PIRULO MANGO 36x70ML;MDLZ MNBITCUP OREO 12x105;
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401254485;RESTAURANTE EL REENCUENTR;31732;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/01/2019;11/11/2025;0;10;-10;10;MAXIBON CLASIC N5 24X140 ;MDLZ BB MILKA N2 20X90ML;MAXIBON WAFFLE N2 24X140;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401180605;EL RINCON GOLOSO;32465;;;Impulso Tradicional;TIENDAS DE CHUCHERIAS/FRUTOS S;14/06/2011;05/05/2026;35;36;-1;36;PIRULO FRUIT JOY 24X65ML;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401352871;TIENDA CANDY WORLD;32548;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;01/04/2023;08/05/2026;27;30;-3;30;MDLZ OREO BTOP N1 20x100;BOKA ZAS NATA N4 24x100ML;MAXIBON CHSCAKE 24X140ML ;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401181260;HOTEL MARINA PLAYA;30507;B6762;SERVIHOTEL, S.L;Hoteles y Hostales;HOTELES Y HOSTALES;11/05/2016;12/05/2026;14;17;-3;17;NUII NA CH.NEG N2 20x90;EXTR DOBLE CHON2 16x120ML;PIRULO TROPICALN1 20x70ml;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180222;ARCADIO BAR;32755;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/12/1997;07/05/2026;5;8;-3;8;EXTREME NATA N2 16X110ML;MAXIBON CLASIC N5 24X140 ;PIRL COOL LIMON N3 24X99;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;401379397;CHIRINGUITO HENROK;3607;000008918;CANAL NAUTICO;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;01/03/2024;28/04/2026;35;36;-1;36;PIRULO FRUIT JOY 24X65ML;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;866015036;LA PIZZA CAMPING;5036;;;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;28/02/1998;08/05/2026;22;24;-2;24;MAXIBON CHSCAKE 24X140ML ;NUII CRM AUSTRAL.N4 20X90;EXTR LM CHESCK 16x110ML;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401181099;CAFETERIA EL JAYA;30399;;;Bares y Cafeter¡as;BAR Y CAFETERIA;13/06/2015;02/05/2026;10;11;-1;11;MAXIBON COOKIE N5 24x150;NUII NA CH.NEG N2 20x90;NUII ALM.JAVA N5 20X90;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401279936;E.S. HIDROCARBUROS 96290D;39524;;;Conveniencia;ESTACIONES DE SERVICIO / GASOL;23/10/2019;24/04/2026;18;20;-2;20;MDLZ BB MILKA N2 20X90ML;MDLZ BBTOBLERONE N1 20X90;MAXIBON COOKIE N5 24x150;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401221081;PIZZERIA POMODORO;30872;000003020;GRUPO VIVAS;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;20/11/2017;07/05/2025;0;5;-5;5;SMARTIES PUSHUP 20x85MLN7;MDLZ SNDW OREO 24X110;MAXIBON CLASIC N5 24X140 ;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180512;REST. CLAUDIO;30116;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;09/11/2009;06/05/2026;4;5;-1;5;MAXIBON CLASIC N5 24X140 ;PIR COOL FRESA N3 24X99ML;;
05-2025 -> 05-2026;2866;LORCA;83;JOSE ANTONIO SOLER;401231454;PARAISO DE LAS CHUCHES;30908;;;Impulso Tradicional;TIENDAS DE CHUCHERIAS/FRUTOS S;19/02/2018;01/04/2026;35;36;-1;36;PIRULO FRUIT JOY 24X65ML;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401031373;CAFETERIA JULIO MENFIS;3511;;;Bares y Cafeter¡as;BAR Y CAFETERIA;23/03/2007;09/05/2026;24;27;-3;27;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;MAXIBON CHSCAKE 24X140ML ;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401041797;TERRAZA DEL MAR;8911;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;05/06/2013;08/05/2026;19;22;-3;22;MDLZ MNBITCUP OREO 12x105;NUII TEXPECAN N1 20X90;MAXIBON COOKIE N5 24x150;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401261441;KIOSCO CASTO;31808;;;Impulso Tradicional;KIOSCO FIJO (NO PROPIEDAD NEST;20/02/2019;29/04/2026;35;36;-1;36;PIRULO FRUIT JOY 24X65ML;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;
05-2025 -> 05-2026;2866;LORCA;05;JOSE SANCHEZ;400963821;AUTOSERVICIO TOTANA;1563;000010108;AUTOSERVICIO TOTANA;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;27/05/2011;12/05/2026;19;22;-3;22;MDLZ MNBITCUP OREO 12x105;MAXIBON CHSCAKE 24X140ML ;MDLZ SNDW OREO 24X110;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;866016304;BAR 4 VIENTOS;6304;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;28/11/2006;25/03/2026;35;36;-1;36;PIRULO FRUIT JOY 24X65ML;EXTREME NATA N2 16X110ML;EXTR LM CHESCK 16x110ML;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401401741;24 HORAS NOVA II;32816;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/03/2025;27/03/2025;0;19;-19;19;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;MDLZ SNDW OREO 24X110;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401378287;SHELL TURRE;8574;000000734;SHELL PENINSULA ABANDERAD;Conveniencia;ESTACIONES DE SERVICIO / GASOL;01/03/2024;09/05/2026;10;15;-5;15;PIRL COOL LIMON N3 24X99;PIR COOL FRESA N3 24X99ML;PIRL MIKOLAPIZ N4 20x88ML;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401374340;TIENDA ROZZ;32359;;;Impulso Tradicional;TIENDAS DE CHUCHERIAS/FRUTOS S;01/01/2024;12/05/2026;18;21;-3;21;MAXIBON WAFFLE N2 24X140;MAXIBON CHSCAKE 24X140ML ;PIRULO MANGO 36x70ML;
05-2025 -> 05-2026;2866;LORCA;10;EDGAR WIDRIDO GRANDA;401332867;BAR EL PALILLON;6612;;;Bares y Cafeter¡as;BAR Y CAFETERIA;02/05/2022;08/04/2026;14;15;-1;15;MAXIBON CLASIC N5 24X140 ;MAXIBON COOKIE N5 24x150;MDLZ SNDW OREO 24X110;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180229;PASTELERIA;30582;;;Conveniencia;PASTELERIAS/PANADERIAS/FRUTERI;13/06/1998;07/05/2026;8;19;-11;19;MDLZ BB OREO 20X90ML;MAXIBON CHSCAKE 24X140ML ;CONO KIT KAT N5 16x110ML;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401031376;MINIMARKET VENTA ALFAIX;10178;;;Conveniencia;PASTELERIAS/PANADERIAS/FRUTERI;12/06/2010;09/05/2026;17;18;-1;18;MAXIBON CHSCAKE 24X140ML ;EXTR CRML SALADO 16x110ML;MAXIBON COOKIE N5 24x150;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401350169;SUPERMERCADO SUPER SOL;8972;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;01/03/2023;11/04/2026;22;27;-5;27;MAXIBON COOKIE N5 24x150;MDLZ BBTOBLERONE N1 20X90;PIRL MIKOLAPIZ N4 20x88ML;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401401331;HELADERIA NEW ALOHA;30349;;;Ocio;HELADERIAS/HORCHATERIAS;01/03/2025;08/05/2026;25;29;-4;29;MAXIBON WAFFLE N2 24X140;PIRULO MANGO 36x70ML;NUII CRM AUSTRAL.N4 20X90;
