Semana-A¤o;C.Ofi;Oficina Venta;Cod.Cliente Winter;Nombre Comercial;CodigoInterno;Canal;Cuota Anual;Cuota Mes;Venta Mes;Dif. Mes;Cuota Cum;Venta Cum;Dif. Cum;
19-2026;2866;LORCA;401374340;TIENDA ROZZ;32359;HELADO;2229,46;64,28;0,00;64,28;778,12;869,28;-91,16;
19-2026;2866;LORCA;401383698;CENTRO SOCIAL PASTRANA;8432;HELADO;1111,34;53,93;0,00;53,93;279,35;0,00;279,35;
19-2026;2866;LORCA;400918477;CASA PEPE;7122;HELADO;2108,97;85,95;0,00;85,95;747,43;771,12;-23,69;
19-2026;2866;LORCA;401417147;HELADERIA ALEXIS;32656;HELADO;967,86;25,39;0,00;25,39;194,18;0,00;194,18;
19-2026;2866;LORCA;401403550;RESTAURANTE EL AMANECER;9198;HELADO;1175,38;56,69;0,00;56,69;258,36;0,00;258,36;
19-2026;2866;LORCA;401180701;TIENDA PASEO LOS BA¥OS;31825;HELADO;3408,76;123,85;0,00;123,85;951,21;0,00;951,21;
19-2026;2866;LORCA;401405142;E.S.P.I.SAPRELORCA HNOS.M;9659;HELADO;1501,84;35,72;0,00;35,72;273,20;329,48;-56,28;
19-2026;2866;LORCA;401274874;BAR GALERA;9586;HELADO;3983,18;98,92;0,00;98,92;1485,92;1788,06;-302,14;
19-2026;2866;LORCA;401378577;RTE.RINCON DEL ZAHON;8575;HELADO;2045,56;17,90;0,00;17,90;467,38;24,12;443,26;
19-2026;2866;LORCA;401403760;HOTEL DO¥A PAKITA;32834;HELADO;4866,81;112,56;0,00;112,56;860,75;0,00;860,75;
19-2026;2866;LORCA;401180815;RTE.BAR ALKANZIYA;31778;HELADO;2526,98;24,40;0,00;24,40;837,73;201,90;635,83;
19-2026;2866;LORCA;401180492;REST. LA BODEGUILLA;30105;HELADO;976,15;50,96;0,00;50,96;182,13;23,94;158,19;
19-2026;2866;LORCA;401410395;PISCINA ALHABIA;32884;HELADO;3241,77;79,17;0,00;79,17;605,45;0,00;605,45;
19-2026;2866;LORCA;401180388;VENTA EL MOLINO;30669;HELADO;515,02;11,80;0,00;11,80;115,46;0,00;115,46;
19-2026;2866;LORCA;401180200;SANTA MARIA BAR;30558;HELADO;1292,98;41,81;0,00;41,81;525,67;580,70;-55,03;
19-2026;2866;LORCA;401180366;ZORAIDA PARK GRANELES;30020;HELADO;14317,17;176,34;0,00;176,34;320,85;0,00;320,85;
19-2026;2866;LORCA;401403410;PKO 24 HORAS INFIERNO;32762;HELADO;2657,13;161,18;0,00;161,18;889,04;272,68;616,36;
19-2026;2866;LORCA;401231920;CAFETERIA LEPANTO;30273;HELADO;1254,71;30,09;0,00;30,09;0,00;0,00;0,00;
19-2026;2866;LORCA;401236803;HOTEL CABOGATA JARDIN;30999;HELADO;40430,89;342,82;0,00;342,82;205,21;943,86;-738,65;
19-2026;2866;LORCA;401315446;COMIDAS SAEZ;32075;HELADO;839,02;32,98;0,00;32,98;195,24;0,00;195,24;
19-2026;2866;LORCA;401422074;EVENTOS MOLINO CHICO;10391;HELADO;1000,00;25,80;0,00;25,80;147,40;927,00;-779,60;
19-2026;2866;LORCA;401412855;RESTAURANTE LA SALMORRETA;32887;HELADO;1112,36;27,35;0,00;27,35;209,19;148,52;60,67;
19-2026;2866;LORCA;401198136;LA TAPERIA;32745;HELADO;1046,60;0,00;0,00;0,00;1046,60;0,00;1046,60;
19-2026;2866;LORCA;401180514;REST. DI MODENA;30117;HELADO;1602,61;22,34;0,00;22,34;558,56;459,60;98,96;
19-2026;2866;LORCA;401265663;KIOSCO LAS MASCARANAS;30708;HELADO;932,12;46,93;0,00;46,93;245,52;0,00;245,52;
19-2026;2866;LORCA;401406686;RTE.PUNTAS DE CALNEGRE;5708;HELADO;5074,06;247,68;0,00;247,68;933,68;1285,44;-351,76;
19-2026;2866;LORCA;401408130;EL BURLADERO;9575;HELADO;4797,16;112,94;0,00;112,94;863,70;0,00;863,70;
19-2026;2866;LORCA;401180642;LA BARRANQUILLA ALMERIMAR;32758;HELADO;1369,13;0,00;0,00;0,00;1369,13;0,00;1369,13;
19-2026;2866;LORCA;401261441;KIOSCO CASTO;31808;HELADO;7619,66;132,96;0,00;132,96;1376,01;1396,56;-20,55;
19-2026;2866;LORCA;401279936;E.S. HIDROCARBUROS 96290D;39524;HELADO;2114,67;137,59;0,00;137,59;445,28;713,24;-267,96;
19-2026;2866;LORCA;401411570;EURO MARKET;32879;HELADO;1654,89;37,31;0,00;37,31;285,36;0,00;285,36;
19-2026;2866;LORCA;401420033;HERBOLARIO LUZDLUNA;10354;HELADO;3000,00;77,40;0,00;77,40;555,30;3,40;551,90;
19-2026;2866;LORCA;401406082;MAT MARKET;9674;HELADO;2370,12;239,84;0,00;239,84;423,08;1396,56;-973,48;
19-2026;2866;LORCA;401403183;CAFETERIA WLIIANS;8938;HELADO;404,40;76,38;0,00;76,38;86,15;693,00;-606,85;
19-2026;2866;LORCA;401423897;SNAK GAZA HALAL;9694;HELADO;1000,00;25,80;0,00;25,80;147,40;937,44;-790,04;
19-2026;2866;LORCA;401180616;REST.CHINO SHANG-HAI;30179;HELADO;2120,51;19,33;0,00;19,33;894,33;394,74;499,59;
19-2026;2866;LORCA;401408784;COPISTERIA SOLA;9546;HELADO;1292,49;31,59;0,00;31,59;241,54;806,88;-565,34;
19-2026;2866;LORCA;401180398;BAR BLANCO;30040;HELADO;2250,37;39,53;0,00;39,53;972,99;847,44;125,55;
19-2026;2866;LORCA;401328544;LA COSA MAS DULCE;8506;HELADO;935,44;19,58;0,00;19,58;800,75;0,00;800,75;
19-2026;2866;LORCA;401402726;CAFETERIA VERACRUZ;32825;HELADO;783,00;0,00;0,00;0,00;758,88;0,00;758,88;
19-2026;2866;LORCA;401361226;E.S. LA TORRE;32628;HELADO;473,85;83,27;0,00;83,27;0,00;344,32;-344,32;
19-2026;2866;LORCA;401393110;CASA CLUB CAMPOSOL GOLD;5702;HELADO;6166,47;205,20;0,00;205,20;1881,39;546,96;1334,43;
19-2026;2866;LORCA;401414243;BAR ZIROKS;40412;HELADO;1025,25;26,15;0,00;26,15;199,94;57,60;142,34;
19-2026;2866;LORCA;401406920;12633 E.S.CASI SAN ISIDRO;39560;HELADO;1448,30;238,23;0,00;238,23;271,17;0,00;271,17;
19-2026;2866;LORCA;401425866;ESTANCO CARRETERA;30356;HELADO;2000,00;51,60;0,00;51,60;222,40;694,32;-471,92;
19-2026;2866;LORCA;401404693;ALIMENTACION LOS HERMANOS;32841;HELADO;1325,85;0,00;0,00;0,00;565,27;0,00;565,27;
19-2026;2866;LORCA;400815082;SUPER AUTOSERVICIO;6460;HELADO;548,28;29,32;0,00;29,32;176,15;666,28;-490,13;
19-2026;2866;LORCA;401422742;PASTELERIA ESCOBAR-BH;30911;HELADO;1000,00;25,80;0,00;25,80;147,40;1426,80;-1279,40;
19-2026;2866;LORCA;401414191;LA BOMBA;32139;HELADO;936,64;24,98;0,00;24,98;191,03;0,00;191,03;
19-2026;2866;LORCA;401422495;KIOSCO JUANILLO;31981;HELADO;12000,00;309,60;0,00;309,60;1768,80;0,00;1768,80;
19-2026;2866;LORCA;401180579;REST. EL LAGARTO;31941;HELADO;2694,17;37,53;0,00;37,53;865,23;980,00;-114,77;
19-2026;2866;LORCA;866015039;EST.SERVCIO VTA LA PETRA;9337;HELADO;8044,21;52,32;0,00;52,32;1768,30;2306,52;-538,22;
19-2026;2866;LORCA;401401741;24 HORAS NOVA II;32816;HELADO;715,30;0,00;0,00;0,00;715,30;0,00;715,30;
19-2026;2866;LORCA;401263801;HELADERIA ARIAS.COM;8512;HELADO;11635,71;706,14;0,00;706,14;0,00;2764,44;-2764,44;
19-2026;2866;LORCA;401421219;SUPERMARKET;10379;HELADO;1000,00;25,80;0,00;25,80;185,10;1396,56;-1211,46;
19-2026;2866;LORCA;401377191;BAR EL TONEL 3;32679;HELADO;4485,47;128,65;0,00;128,65;898,50;166,65;731,85;
19-2026;2866;LORCA;401352595;SUPERMERCADO LAS NEGRAS;32757;HELADO;9482,62;694,39;0,00;694,39;668,46;2237,20;-1568,74;
19-2026;2866;LORCA;866012092;EST.SERVICIO HNS.BA¥OS;2209;HELADO;4430,59;201,42;0,00;201,42;900,57;946,00;-45,43;
19-2026;2866;LORCA;401411250;MINIMARKET CANDI Y JULI;32877;HELADO;1212,58;21,31;0,00;21,31;162,99;0,00;162,99;
19-2026;2866;LORCA;401417327;BAR MAR Y TIERRA;32640;HELADO;2999,10;77,39;0,00;77,39;591,84;0,00;591,84;
19-2026;2866;LORCA;401233238;D'BAR;30960;HELADO;4340,22;101,83;0,00;101,83;1438,37;1500,82;-62,45;
19-2026;2866;LORCA;401401133;COMERCIO DAMNOUN;32775;HELADO;1968,87;107,52;0,00;107,52;894,47;0,00;894,47;
19-2026;2866;LORCA;401423819;HOTEL RTE.TEBAR;10412;HELADO;6500,00;167,70;0,00;167,70;958,10;478,28;479,82;
19-2026;2866;LORCA;401421844;RODIPARK;10378;HELADO;1000,00;25,80;0,00;25,80;147,40;716,40;-569,00;
19-2026;2866;LORCA;401361374;RESTAURANTE LA PITA;32401;HELADO;1028,37;34,76;0,00;34,76;253,77;0,00;253,77;
19-2026;2866;LORCA;401402410;ALIMENTACION XU TEATRO GU;9653;HELADO;2686,18;44,60;0,00;44,60;1097,34;1028,04;69,30;
19-2026;2866;LORCA;401399427;BAR CARAMBA;9664;HELADO;1505,25;41,16;0,00;41,16;688,52;0,00;688,52;
19-2026;2866;LORCA;401421937;MARINA TU PEQUE¥A COMPRA;31135;HELADO;4000,00;103,20;0,00;103,20;589,60;890,28;-300,68;
19-2026;2866;LORCA;401423558;CHIRINGUITO;10411;HELADO;5000,00;129,00;0,00;129,00;737,00;0,00;737,00;
19-2026;2866;LORCA;401425516;SUPERMERCADO CAMPOSOL V;10429;HELADO;6000,00;154,80;0,00;154,80;667,20;902,64;-235,44;
19-2026;2866;LORCA;401274656;RESTAURANTE MAXCALY;8340;HELADO;4953,18;247,41;0,00;247,41;0,00;298,38;-298,38;
19-2026;2866;LORCA;866015099;HOGAR 3¦ EDAD MARIA;8525;HELADO;5570,27;6,95;0,00;6,95;1126,76;0,00;1126,76;
19-2026;2866;LORCA;401420861;COMIDAS PARA LLEVAR LAS T;32161;HELADO;4000,00;103,20;0,00;103,20;740,40;749,64;-9,24;
19-2026;2866;LORCA;401232971;ESTACION DE SERVICIO CEPS;32812;HELADO;1429,10;223,31;0,00;223,31;0,00;353,24;-353,24;
19-2026;2866;LORCA;401389310;CHIRINGUITO EL PUERTO;8353;HELADO;631,66;52,38;0,00;52,38;0,00;0,00;0,00;
19-2026;2866;LORCA;401413089;HELADERIA D'HOKER;9696;HELADO;765,10;22,58;0,00;22,58;172,64;0,00;172,64;
19-2026;2866;LORCA;401404238;PISCINA DE ENIX;32839;HELADO;4618,24;109,40;0,00;109,40;836,64;0,00;836,64;
19-2026;2866;LORCA;866025087;A-350 SERVICIOS, S.L.;4592;HELADO;1864,79;43,96;0,00;43,96;912,96;1147,44;-234,48;
19-2026;2866;LORCA;401426508;EL TEMPLO;10441;HELADO;15000,00;387,00;0,00;387,00;1668,00;0,00;1668,00;
19-2026;2866;LORCA;401427583;HOTEL MEXICO;10461;HELADO;1000,00;25,80;0,00;25,80;0,00;0,00;0,00;
19-2026;2866;LORCA;401421941;CONFITERIA TEYO;10389;HELADO;1000,00;25,80;0,00;25,80;147,40;1054,38;-906,98;
19-2026;2866;LORCA;401426031;BAR MUNA;10438;HELADO;6500,00;167,70;0,00;167,70;722,80;695,16;27,64;
19-2026;2866;LORCA;401335439;LA FAVORITA;31120;HELADO;949,91;26,49;0,00;26,49;311,11;327,31;-16,20;
19-2026;2866;LORCA;401425877;BAZAR ALIMENTACION LOS HE;10434;HELADO;1000,00;25,80;0,00;25,80;111,20;880,08;-768,88;
19-2026;2866;LORCA;401376803;ALIMENTACION SANTA RITA;32673;HELADO;878,92;63,33;0,00;63,33;0,00;623,72;-623,72;
19-2026;2866;LORCA;401080515;E.S. LA CAMPANA;9660;HELADO;929,84;60,86;0,00;60,86;676,23;0,00;676,23;
19-2026;2866;LORCA;866010363;PLAYA GRANDE, HOTEL;363;HELADO;6894,39;86,54;0,00;86,54;1545,07;1821,63;-276,56;
19-2026;2866;LORCA;866015121;MULTIOCIO PARK;5121;HELADO;1856,57;36,31;0,00;36,31;945,34;1087,96;-142,62;
19-2026;2866;LORCA;401412566;PUERTO KEBAB;9695;HELADO;2660,12;54,98;0,00;54,98;420,48;1033,84;-613,36;
19-2026;2866;LORCA;401180354;RESTAURANTE EL PIRATA;30014;HELADO;3619,66;30,49;0,00;30,49;933,30;879,06;54,24;
19-2026;2866;LORCA;401403956;E.S. SAN ISIDRO 12567;30653;HELADO;2248,15;142,81;0,00;142,81;912,11;0,00;912,11;
19-2026;2866;LORCA;401414671;DRY MARIN;32145;HELADO;1110,65;27,28;0,00;27,28;208,65;0,00;208,65;
19-2026;2866;LORCA;401180369;RESTAURANTE ALPUJARRA;31975;HELADO;2568,85;55,31;0,00;55,31;751,78;458,46;293,32;
19-2026;2866;LORCA;401313848;PERRO VIEJO CAFETERIA;32238;HELADO;433,19;18,80;0,00;18,80;111,42;254,09;-142,67;
